Question_ID,Category,Customer_Query,Evidence_Based_Answer,Benefit_Tag,Technical_Logic
CS-QA-4029,Billing & Accuracy,Can you explain check my charges to me?,"Bills might seem higher because the meter is now recording energy previously missed by old, estimated guesses.",Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4030,Billing & Accuracy,Can you explain why is my bill high? to me?,"Smart meters provide 30-minute interval data to ensure bills are based on actual use, not estimates.",Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4031,Connectivity & Technical,Can you explain connection lost to me?,The Communications Hub uses a Wide Area Network (WAN) to send data to the supplier safely.,Connectivity_&_Technical,CBA 2019 Analysis Framework
CS-QA-4032,Reliability & Outages,I need help with does the company know i have no light?.,Smart meters have 'last gasp' functionality to automatically alert the network of power failures.,Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4033,Billing & Accuracy,Can you explain estimated vs actual bill to me?,"Bills might seem higher because the meter is now recording energy previously missed by old, estimated guesses.",Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4034,Prepayment & Switching,"Hi, i ran out of credit?",Prepayment customers can top-up via mobile apps like Xenius or the In-Home Display (IHD).,Prepayment_&_Switching,CBA 2019 Analysis Framework
CS-QA-4035,Reliability & Outages,Report an outage,"The system identifies faults instantly, reducing the need for customers to report outages manually.",Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4036,Reliability & Outages,"Hi, grid failure?",Smart meters have 'last gasp' functionality to automatically alert the network of power failures.,Reliability_&_Outages,CBA 2019 Analysis Framework
CS-QA-4037,Billing & Accuracy,Urgently need to know: why is my bill high?.,Half-hourly data allows for 'Time of Use' (ToU) tariffs where night-time energy is cheaper.,Billing_&_Accuracy,CBA 2019 Analysis Framework
CS-QA-4038,Prepayment & Switching,Urgently need to know: switching to cheaper tariff.,Smart meters allow remote switching between credit and prepayment modes without a site visit.,Prepayment_&_Switching,CBA 2019 Analysis Framework
